features,negative coefficient
num__int.rate,0.1193
num__inq.last.6mths,0.1105
num__installment,0.0621
num__revol.util,0.0451
num__revol.bal,0.044
num__pub.rec,0.0401
cat__purpose_small_business,0.0349
cat__purpose_home_improvement,0.0101
cat__purpose_all_other,0.0088
cat__purpose_educational,0.0052
num__dti,0.0019
num__delinq.2yrs,-0.0033
cat__purpose_major_purchase,-0.0088
num__days.with.cr.line,-0.0178
cat__purpose_debt_consolidation,-0.0234
cat__purpose_credit_card,-0.0262
num__log.annual.inc,-0.0533
num__credit.policy,-0.101
num__fico,-0.1034
